time,lon,lat,pressure,ASL_Sector_Pres
1979-01-01,220.0,-67.75,983.4540405273438,986.2542114257812
1979-02-01,196.0,-71.0,975.5189819335938,982.8369140625
1979-03-01,219.5,-68.75,974.0091552734375,980.2178955078125
1979-04-01,269.75,-66.5,970.950439453125,978.922119140625
1979-05-01,189.75,-69.25,978.7947998046875,987.4713745117188
1979-06-01,212.25,-69.25,970.3492431640625,978.7339477539062
1979-07-01,198.5,-72.25,976.9258422851562,980.615478515625
1979-08-01,252.5,-69.75,978.2559814453125,986.9984741210938
1979-09-01,193.0,-71.5,975.34619140625,982.1600341796875
1979-10-01,252.5,-69.25,976.8994750976562,982.4397583007812
1979-11-01,194.25,-72.0,981.0780029296875,986.5428466796875
1979-12-01,270.25,-65.5,987.6917724609375,993.2821044921875
1980-01-01,269.25,-63.75,988.2236938476562,991.8151245117188
1980-02-01,281.0,-62.75,988.1417846679688,992.525146484375
1980-03-01,186.25,-71.75,987.7820434570312,991.595703125
1980-04-01,207.25,-67.25,985.2225341796875,992.987548828125
1980-05-01,198.0,-67.0,980.2830810546875,987.6835327148438
1980-06-01,204.25,-71.75,982.0518798828125,987.8047485351562
1980-07-01,207.25,-63.75,983.400146484375,994.5620727539062
1980-08-01,202.5,-70.0,978.0763549804688,983.2654418945312
1980-09-01,253.5,-67.75,982.4825439453125,988.8927612304688
1980-10-01,221.5,-68.75,966.2489624023438,973.8092651367188
1980-11-01,253.5,-68.0,988.7549438476562,991.8976440429688
1980-12-01,273.0,-67.25,986.8749389648438,989.630126953125
1981-01-01,208.0,-69.5,982.1021728515625,987.2569580078125
1981-02-01,278.0,-66.25,977.5523071289062,984.303466796875
1981-03-01,219.5,-67.5,974.7913208007812,985.7766723632812
1981-04-01,,,,
1981-05-01,193.0,-72.0,981.841552734375,988.5623779296875
1981-06-01,221.25,-69.0,974.7396240234375,983.9464111328125
1981-07-01,252.0,-68.0,980.3148803710938,987.5029907226562
1981-08-01,275.5,-67.0,980.1243286132812,989.9877319335938
1981-09-01,196.25,-71.75,986.408935546875,992.0457763671875
1981-10-01,207.5,-69.75,976.7942504882812,979.949462890625
1981-11-01,252.75,-67.5,970.78515625,975.9569702148438
1981-12-01,220.0,-70.0,978.10107421875,983.2514038085938
1982-01-01,267.0,-64.0,984.4200439453125,988.74267578125
1982-02-01,241.75,-66.5,980.0035400390625,984.0870971679688
1982-03-01,277.0,-66.75,975.3042602539062,980.659423828125
1982-04-01,267.75,-67.25,972.0531005859375,979.3936767578125
1982-05-01,261.5,-65.25,977.8611450195312,985.3173217773438
1982-06-01,201.75,-71.25,977.0711669921875,984.726806640625
1982-07-01,205.5,-69.0,982.3150634765625,989.4334716796875
1982-08-01,194.5,-71.5,968.8438720703125,983.5095825195312
1982-09-01,206.0,-71.5,971.8141479492188,979.9598388671875
1982-10-01,251.5,-69.75,980.9442749023438,984.3831787109375
1982-11-01,177.25,-64.25,976.388671875,984.9136352539062
1982-12-01,,,,
1983-01-01,277.25,-62.25,986.9635009765625,995.8409423828125
1983-02-01,278.25,-67.25,987.8107299804688,992.9692993164062
1983-03-01,206.5,-69.0,976.8692626953125,983.0902099609375
1983-04-01,220.0,-68.75,969.1846313476562,980.2039184570312
1983-05-01,209.0,-67.75,973.1213989257812,980.2468872070312
1983-06-01,200.75,-70.5,982.0631103515625,989.3529052734375
1983-07-01,251.25,-68.75,975.660888671875,980.726318359375
1983-08-01,210.5,-70.25,972.5518188476562,978.5341186523438
1983-09-01,249.75,-68.75,981.1233520507812,985.6763916015625
1983-10-01,200.0,-72.25,965.0557861328125,973.7086791992188
1983-11-01,253.0,-68.25,972.5814819335938,978.4619140625
1983-12-01,252.0,-67.75,979.5789794921875,984.9186401367188
1984-01-01,257.0,-64.25,983.0140380859375,992.3140869140625
1984-02-01,285.0,-61.25,984.4862670898438,989.5042114257812
1984-03-01,249.25,-67.25,975.8389282226562,982.4567260742188
1984-04-01,197.0,-71.0,977.2999267578125,981.501220703125
1984-05-01,208.25,-68.0,981.3014526367188,989.4297485351562
1984-06-01,216.5,-67.5,977.1258544921875,986.4010620117188
1984-07-01,206.5,-71.5,976.5921020507812,984.278564453125
1984-08-01,252.5,-69.0,979.3341064453125,985.6581420898438
1984-09-01,252.0,-69.0,975.8862915039062,983.4080810546875
1984-10-01,192.75,-72.25,974.8256225585938,984.435546875
1984-11-01,217.0,-68.5,975.9922485351562,979.3406372070312
1984-12-01,,,,
1985-01-01,270.75,-65.75,985.94873046875,989.4761352539062
1985-02-01,273.75,-64.25,983.2908325195312,987.22900390625
1985-03-01,223.0,-68.25,976.628173828125,982.376220703125
1985-04-01,219.25,-68.5,977.1690673828125,981.5521850585938
1985-05-01,199.25,-71.25,981.9735717773438,989.1094970703125
1985-06-01,199.75,-71.75,983.3795166015625,991.4576416015625
1985-07-01,197.0,-72.5,976.298828125,984.0843505859375
