# 
# Amundsen Sea Low (ASL) Index version 3
#   (derived from monthly ERA-INTERIM Reanalysis data)
# 
# Dr J. Scott Hosking
#   British Antarctic Survey
#   Twitter: @scotthosking
# 
# For more information see:
#   Website: https://scotthosking.com/asl_index
#   GitHub:  https://github.com/scott-hosking/amundsen_sea_low_index
# 
# Column Labels:
#   time       = YYYY-MM-01 (monthly data)
#   SectorPres = Area-average sea level pressure over sector (170-298 E : 60-80 S)
#   ActCenPres = Actual central pressure of ASL
#   lon        = Longitudinal location of ASL (degrees East)
#   lat        = Latitudinal location of ASL
#   RelCenPres = Relative central pressure (ActCenPres 'minus' SectorPres)
# 
# The ASL (low pressure system) detection algorithm may be improved over time. Therefore 
# it is recommended that the version number below is noted when using these data.
#   ASLi_version_id = 3.20200107-era-interim-TESTING
# 
# 
time,lon,lat,ActCenPres,SectorPres,RelCenPres
1979-01-01,219.0,-69.75,982.3770141601562,986.0918579101562,-3.71484375
1979-02-01,196.5,-71.25,973.7040405273438,982.9580078125,-9.25396728515625
1979-03-01,225.0,-69.75,972.30224609375,980.5159301757812,-8.21368408203125
1979-04-01,273.75,-68.25,967.7047119140625,979.388671875,-11.6839599609375
1979-05-01,191.25,-70.5,977.4674072265625,987.1717529296875,-9.704345703125
1979-06-01,219.0,-70.5,966.9014282226562,977.8569946289062,-10.95556640625
1979-07-01,249.75,-71.25,972.6932983398438,980.13623046875,-7.44293212890625
1979-08-01,258.0,-71.25,972.4166259765625,986.6744384765625,-14.2578125
1979-09-01,204.0,-74.25,972.7765502929688,982.1755981445312,-9.3990478515625
1979-10-01,252.0,-72.0,973.3610229492188,982.3060913085938,-8.945068359375
1979-11-01,203.25,-75.0,979.154296875,986.3114013671875,-7.1571044921875
1979-12-01,268.5,-66.75,986.1121215820312,993.4611206054688,-7.3489990234375
1980-01-01,270.0,-63.0,987.5421142578125,991.8096923828125,-4.267578125
1980-02-01,282.0,-63.0,986.8758544921875,992.6497192382812,-5.77386474609375
1980-03-01,218.25,-75.0,986.0529174804688,992.060791015625,-6.00787353515625
1980-04-01,208.5,-68.25,985.1776733398438,993.172607421875,-7.99493408203125
1980-05-01,193.5,-66.0,979.39990234375,987.6708374023438,-8.27093505859375
1980-06-01,209.25,-75.75,977.7468872070312,987.9915771484375,-10.24468994140625
1980-07-01,207.0,-63.75,982.9755249023438,994.7154541015625,-11.73992919921875
1980-08-01,201.75,-71.25,976.0797729492188,983.3721923828125,-7.29241943359375
1980-09-01,258.0,-69.0,981.4735717773438,989.0620727539062,-7.5885009765625
1980-10-01,221.25,-70.5,963.615234375,973.8837280273438,-10.26849365234375
1980-11-01,292.5,-62.25,984.1104736328125,991.2369384765625,-7.12646484375
1980-12-01,272.25,-70.5,984.76123046875,989.5646362304688,-4.80340576171875
1981-01-01,207.75,-70.5,980.7098388671875,987.237548828125,-6.5277099609375
1981-02-01,279.75,-67.5,976.9266967773438,984.4423828125,-7.51568603515625
1981-03-01,219.75,-67.5,973.2833862304688,985.9512939453125,-12.66790771484375
1981-04-01,202.5,-72.75,988.1900634765625,994.0253295898438,-5.83526611328125
1981-05-01,195.0,-75.0,980.0337524414062,988.9751586914062,-8.94140625
1981-06-01,219.75,-70.5,971.8731079101562,984.0203857421875,-12.14727783203125
1981-07-01,230.25,-71.25,978.3016357421875,987.559814453125,-9.2581787109375
1981-08-01,273.75,-68.25,978.25927734375,990.25048828125,-11.9912109375
1981-09-01,282.0,-72.0,984.2064819335938,991.7857055664062,-7.5792236328125
1981-10-01,210.0,-72.0,975.8412475585938,980.218505859375,-4.37725830078125
1981-11-01,253.5,-68.25,968.5812377929688,975.8570556640625,-7.27581787109375
1981-12-01,231.75,-71.25,974.7062377929688,982.9532470703125,-8.24700927734375
1982-01-01,267.0,-64.5,983.7929077148438,988.8842163085938,-5.09130859375
1982-02-01,233.25,-66.0,979.2855224609375,984.3345336914062,-5.04901123046875
1982-03-01,276.75,-67.5,973.97509765625,981.0106811523438,-7.03558349609375
1982-04-01,270.0,-70.5,968.3116455078125,980.0641479492188,-11.75250244140625
1982-05-01,261.75,-68.25,976.5399780273438,985.4579467773438,-8.91796875
1982-06-01,204.75,-73.5,975.482666015625,984.9720458984375,-9.4893798828125
1982-07-01,207.0,-69.0,981.7869262695312,989.8255004882812,-8.03857421875
1982-08-01,196.5,-72.75,966.677001953125,983.490234375,-16.813232421875
1982-09-01,216.0,-73.5,968.7803344726562,980.050048828125,-11.26971435546875
1982-10-01,249.75,-72.75,975.832763671875,984.2251586914062,-8.39239501953125
1982-11-01,174.0,-65.25,974.422607421875,984.7951049804688,-10.37249755859375
1982-12-01,277.5,-61.5,982.1807861328125,993.3331909179688,-11.15240478515625
1983-01-01,277.5,-63.0,985.3837280273438,995.5916748046875,-10.20794677734375
1983-02-01,255.75,-72.75,985.1846923828125,992.9178466796875,-7.733154296875
1983-03-01,208.5,-69.0,975.546142578125,983.2848510742188,-7.73870849609375
1983-04-01,221.25,-69.75,966.1632080078125,980.1649169921875,-14.001708984375
1983-05-01,210.0,-67.5,971.3424072265625,980.088134765625,-8.7457275390625
1983-06-01,201.75,-71.25,980.5418701171875,989.183837890625,-8.6419677734375
1983-07-01,234.75,-70.5,971.4638061523438,980.4082641601562,-8.9444580078125
1983-08-01,219.75,-72.0,968.5474243164062,978.2581787109375,-9.71075439453125
1983-09-01,242.25,-71.25,976.7742919921875,985.5244140625,-8.7501220703125
1983-10-01,201.75,-74.25,960.1299438476562,973.3421630859375,-13.21221923828125
1983-11-01,261.0,-69.75,969.7980346679688,978.0198974609375,-8.22186279296875
1983-12-01,246.0,-69.75,977.5393676757812,984.60546875,-7.06610107421875
1984-01-01,256.5,-64.5,981.7911987304688,991.9782104492188,-10.18701171875
1984-02-01,285.0,-63.75,983.768798828125,989.4231567382812,-5.65435791015625
1984-03-01,249.0,-69.0,975.0394287109375,982.8052978515625,-7.765869140625
1984-04-01,198.0,-72.0,976.0360107421875,981.7280883789062,-5.69207763671875
1984-05-01,209.25,-69.0,980.4628295898438,989.437255859375,-8.97442626953125
1984-06-01,195.75,-73.5,975.8087768554688,986.385009765625,-10.57623291015625
1984-07-01,209.25,-74.25,971.7362670898438,984.5713500976562,-12.8350830078125
